Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ig.prompt.library.json	4397	-	0	0	0	0	0	0	11	92	0	0	0	0	0	0	0	0	0	0	67	75	0	0	0	4	0	1
fsh-generated/resources/CodeSystem-common-colors.json	1721	14	0	0	0	0	0	0	1	19	0	0	0	0	0	0	0	0	0	0	14	694	0	0	0	1	0	0
fsh-generated/resources/Patient-PatientExample.json	595	18	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	17	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-MyPatient.json	1502	17	0	110	1	0	0	0	0	88	0	0	1	0	0	0	0	2	0	0	127	965	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-patient-favorite-color.json	1496	13	0	28	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	37	140	0	0	0	2	0	0
fsh-generated/resources/ValueSet-favorite-colors.json	549	12	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	9	88	0	0	0	1	0	0
